Bird,Cluster
"Wood Duck (<em class=""sci"">Aix sponsa</em>)",6
"Tree Swallow (<em class=""sci"">Tachycineta bicolor</em>)",6
"Green Heron (<em class=""sci"">Butorides virescens</em>)",6
"Cedar Waxwing (<em class=""sci"">Bombycilla cedrorum</em>)",6
"Eastern Kingbird (<em class=""sci"">Tyrannus tyrannus</em>)",6
"Great Blue Heron (<em class=""sci"">Ardea herodias</em>)",6
"American Goldfinch (<em class=""sci"">Spinus tristis</em>)",7
"American Robin (<em class=""sci"">Turdus migratorius</em>)",7
"Mourning Dove (<em class=""sci"">Zenaida macroura</em>)",7
"European Starling (<em class=""sci"">Sturnus vulgaris</em>)",7
"Sandhill Crane (<em class=""sci"">Antigone canadensis</em>)",7
"American Tree Sparrow (<em class=""sci"">Spizelloides arborea</em>)",7
"Northern Pintail (<em class=""sci"">Anas acuta</em>)",8
"Osprey (<em class=""sci"">Pandion haliaetus</em>)",8
"American White Pelican (<em class=""sci"">Pelecanus erythrorhynchos</em>)",8
"Turkey Vulture (<em class=""sci"">Cathartes aura</em>)",8
"Baltimore Oriole (<em class=""sci"">Icterus galbula</em>)",8
"House Finch (<em class=""sci"">Haemorhous mexicanus</em>)",8
"Purple Martin (<em class=""sci"">Progne subis</em>)",8
"Sedge Wren (<em class=""sci"">Cistothorus stellaris</em>)",8
"Eastern Wood-Pewee (<em class=""sci"">Contopus virens</em>)",8
"American Redstart (<em class=""sci"">Setophaga ruticilla</em>)",8
"Belted Kingfisher (<em class=""sci"">Megaceryle alcyon</em>)",8
"Ruby-throated Hummingbird (<em class=""sci"">Archilochus colubris</em>)",8
"Chimney Swift (<em class=""sci"">Chaetura pelagica</em>)",8
"Bank Swallow (<em class=""sci"">Riparia riparia</em>)",8
"Clark's Nutcracker (<em class=""sci"">Nucifraga columbiana</em>)",8
"Eurasian Wigeon (<em class=""sci"">Mareca penelope</em>)",8
"Cliff Swallow (<em class=""sci"">Petrochelidon pyrrhonota</em>)",8
"Northern Waterthrush (<em class=""sci"">Parkesia noveboracensis</em>)",8
"Indigo Bunting (<em class=""sci"">Passerina cyanea</em>)",8
"Northern House Wren (<em class=""sci"">Troglodytes aedon</em>)",8
"Caspian Tern (<em class=""sci"">Hydroprogne caspia</em>)",8
"Northern Rough-winged Swallow (<em class=""sci"">Stelgidopteryx serripennis</em>)",8
"Northern Flicker (<em class=""sci"">Colaptes auratus</em>)",8
"Savannah Sparrow (<em class=""sci"">Passerculus sandwichensis</em>)",9
"Rose-breasted Grosbeak (<em class=""sci"">Pheucticus ludovicianus</em>)",9
"Ross's Goose (<em class=""sci"">Anser rossii</em>)",9
"Forster's Tern (<em class=""sci"">Sterna forsteri</em>)",9
"gull sp. (<em class=""sci"">Larinae sp.</em>)",9
"Wilson's Warbler (<em class=""sci"">Cardellina pusilla</em>)",9
"Greater White-fronted Goose (<em class=""sci"">Anser albifrons</em>)",9
"Magnolia Warbler (<em class=""sci"">Setophaga magnolia</em>)",9
"Cackling Goose (<em class=""sci"">Branta hutchinsii</em>)",9
"Blackpoll Warbler (<em class=""sci"">Setophaga striata</em>)",9
"Tundra Swan (<em class=""sci"">Cygnus columbianus</em>)",9
"American Black Duck (<em class=""sci"">Anas rubripes</em>)",9
"Eastern Towhee (<em class=""sci"">Pipilo erythrophthalmus</em>)",9
"Nashville Warbler (<em class=""sci"">Leiothlypis ruficapilla</em>)",9
"Tennessee Warbler (<em class=""sci"">Leiothlypis peregrina</em>)",9
"Bonaparte's Gull (<em class=""sci"">Chroicocephalus philadelphia</em>)",9
"blackbird sp. (<em class=""sci"">Icteridae sp.</em>)",9
"Lincoln's Sparrow (<em class=""sci"">Melospiza lincolnii</em>)",9
"Great Horned Owl (<em class=""sci"">Bubo virginianus</em>)",9
"Snow Goose (<em class=""sci"">Anser caerulescens</em>)",9
"Common Goldeneye (<em class=""sci"">Bucephala clangula</em>)",9
"Bald Eagle (<em class=""sci"">Haliaeetus leucocephalus</em>)",9
"Brown Creeper (<em class=""sci"">Certhia americana</em>)",9
"Common Nighthawk (<em class=""sci"">Chordeiles minor</em>)",9
"swallow sp. (<em class=""sci"">Hirundinidae sp.</em>)",9
"Rough-legged Hawk (<em class=""sci"">Buteo lagopus</em>)",9
"American Kestrel (<em class=""sci"">Falco sparverius</em>)",9
"Virginia Rail (<em class=""sci"">Rallus limicola</em>)",9
"Red-eyed Vireo (<em class=""sci"">Vireo olivaceus</em>)",9
"Carolina Wren (<em class=""sci"">Thryothorus ludovicianus</em>)",9
"Common Gallinule (<em class=""sci"">Gallinula galeata</em>)",9
"Black-necked Stilt (<em class=""sci"">Himantopus mexicanus</em>)",9
"American Avocet (<em class=""sci"">Recurvirostra americana</em>)",9
"Black-bellied Plover (<em class=""sci"">Pluvialis squatarola</em>)",9
"Great Crested Flycatcher (<em class=""sci"">Myiarchus crinitus</em>)",9
"Ruddy Turnstone (<em class=""sci"">Arenaria interpres</em>)",9
"Empidonax sp. (<em class=""sci"">Empidonax sp.</em>)",9
"Least Flycatcher (<em class=""sci"">Empidonax minimus</em>)",9
"Stilt Sandpiper (<em class=""sci"">Calidris himantopus</em>)",9
"Long-billed Dowitcher (<em class=""sci"">Limnodromus scolopaceus</em>)",9
"Northern Harrier (<em class=""sci"">Circus hudsonius</em>)",9
"Blue-gray Gnatcatcher (<em class=""sci"">Polioptila caerulea</em>)",9
"Hudsonian Godwit (<em class=""sci"">Limosa haemastica</em>)",9
"Brown Thrasher (<em class=""sci"">Toxostoma rufum</em>)",9
"Eastern Bluebird (<em class=""sci"">Sialia sialis</em>)",9
"Field Sparrow (<em class=""sci"">Spizella pusilla</em>)",9
"Rock Pigeon (<em class=""sci"">Columba livia</em>)",9
"Swainson's Thrush (<em class=""sci"">Catharus ustulatus</em>)",9
"Chipping Sparrow (<em class=""sci"">Spizella passerina</em>)",9
"Hermit Thrush (<em class=""sci"">Catharus guttatus</em>)",9
"Wilson's Phalarope (<em class=""sci"">Phalaropus tricolor</em>)",9
"White-rumped Sandpiper (<em class=""sci"">Calidris fuscicollis</em>)",9
"Cooper's Hawk (<em class=""sci"">Astur cooperii</em>)",9
"Yellow-bellied Sapsucker (<em class=""sci"">Sphyrapicus varius</em>)",9
"Common Merganser (<em class=""sci"">Mergus merganser</em>)",9
"Baird's Sandpiper (<em class=""sci"">Calidris bairdii</em>)",9
"Wild Turkey (<em class=""sci"">Meleagris gallopavo</em>)",9
"Red-bellied Woodpecker (<em class=""sci"">Melanerpes carolinus</em>)",10
"Hairy Woodpecker (<em class=""sci"">Dryobates villosus</em>)",10
"Northern Shrike (<em class=""sci"">Lanius borealis</em>)",10
"House Sparrow (<em class=""sci"">Passer domesticus</em>)",10
"Dark-eyed Junco (<em class=""sci"">Junco hyemalis</em>)",10
"White-breasted Nuthatch (<em class=""sci"">Sitta carolinensis</em>)",10
"Common Yellowthroat (<em class=""sci"">Geothlypis trichas</em>)",11
"Song Sparrow (<em class=""sci"">Melospiza melodia</em>)",11
"Barn Swallow (<em class=""sci"">Hirundo rustica</em>)",11
"Killdeer (<em class=""sci"">Charadrius vociferus</em>)",11
"Yellow Warbler (<em class=""sci"">Setophaga petechia</em>)",11
"Gray Catbird (<em class=""sci"">Dumetella carolinensis</em>)",11
"Red-winged Blackbird (<em class=""sci"">Agelaius phoeniceus</em>)",11
"Spotted Sandpiper (<em class=""sci"">Actitis macularius</em>)",12
"Dunlin (<em class=""sci"">Calidris alpina</em>)",12
"American Wigeon (<em class=""sci"">Mareca americana</em>)",12
"Semipalmated Sandpiper (<em class=""sci"">Calidris pusilla</em>)",12
"Ring-necked Duck (<em class=""sci"">Aythya collaris</em>)",12
"Greater Yellowlegs (<em class=""sci"">Tringa melanoleuca</em>)",12
"Lesser Scaup (<em class=""sci"">Aythya affinis</em>)",12
"Semipalmated Plover (<em class=""sci"">Charadrius semipalmatus</em>)",12
"Pied-billed Grebe (<em class=""sci"">Podilymbus podiceps</em>)",13
"Blue-winged Teal (<em class=""sci"">Spatula discors</em>)",13
"Yellow-rumped Warbler (<em class=""sci"">Setophaga coronata</em>)",13
"Least Sandpiper (<em class=""sci"">Calidris minutilla</em>)",13
"Solitary Sandpiper (<em class=""sci"">Tringa solitaria</em>)",13
"Lesser Yellowlegs (<em class=""sci"">Tringa flavipes</em>)",13
"Black-capped Chickadee (<em class=""sci"">Poecile atricapillus</em>)",14
"Northern Cardinal (<em class=""sci"">Cardinalis cardinalis</em>)",14
"American Crow (<em class=""sci"">Corvus brachyrhynchos</em>)",14
